ETF,is_equity,is_international,is_gov,is_credit,is_macro
AFTY,1,1,0,0,0
AGZ,0,0,1,0,0
AOA,1,1,1,1,0
ARKG,1,1,0,0,0
BICK,1,1,0,0,0
BIV,0,0,1,1,0
CEFS,1,1,1,1,0
CEW,0,1,0,0,1
CNXT,1,1,0,0,0
CSF,1,0,0,0,0
CWB,0,0,0,1,0
DALI,1,1,0,0,0
DRSK,1,0,0,0,0
DWAT,1,1,1,1,0
DWMC,1,0,0,0,0
EMCR,1,1,0,0,0
ESG,1,0,0,0,0
ESPO,1,1,0,0,0
EYLD,1,1,0,0,0
FBND,0,0,1,1,0
FCEF,0,1,0,1,0
FIW,1,1,0,0,0
FIXD,0,0,1,1,0
FLIA,0,1,1,1,0
FLTW,1,1,0,0,0
FNDA,1,0,0,0,0
FSMD,1,0,0,0,0
FTCS,1,0,0,0,0
GDMA,1,1,1,1,0
GRNB,0,1,1,1,0
GSY,0,0,1,1,0
GTO,0,0,1,1,0
HTAB,0,0,1,1,0
IAGG,0,1,1,1,0
IAI,1,0,0,0,0
IAK,1,0,0,0,0
ICSH,0,0,1,1,0
ICVT,1,0,0,1,0
IDX,1,1,0,0,0
IEHS,1,0,0,0,0
IEIH,1,0,0,0,0
IFRA,1,0,0,0,0
IHI,1,0,0,0,0
IUSS,1,0,0,0,0
IYG,1,0,0,0,0
IYH,1,0,0,0,0
JCPB,0,0,1,1,0
JPST,0,0,1,1,0
KBWP,1,0,0,0,0
KMED,1,1,0,0,0
LGOV,0,0,1,0,0
LIT,1,1,0,0,0
LMBS,0,0,1,1,0
LSST,0,0,1,1,0
MGC,1,0,0,0,0
MOAT,1,0,0,0,0
NACP,1,0,0,0,0
NEAR,0,0,1,1,0
OPER,0,0,1,0,0
PAVE,1,0,0,0,0
PHO,1,0,0,0,0
PRFZ,1,0,0,0,0
PSMC,1,1,1,1,0
PSMM,1,1,1,1,0
PULS,0,0,1,1,0
PWS,1,1,1,1,0
REMX,1,1,0,0,0
RLY,1,1,1,0,1
SCHB,1,0,0,0,0
SLX,1,1,0,0,0
SPEM,1,1,0,0,0
TTAC,1,0,0,0,0
TTAI,1,1,0,0,0
UCON,0,0,1,1,0
UITB,0,0,1,1,0
ULST,0,0,1,1,0
USTB,0,0,1,1,0
VEA,1,1,0,0,0
VNLA,0,0,1,1,0
VPL,1,1,0,0,0
VWOB,0,1,1,0,0
WINC,0,0,1,1,0
WOMN,1,0,0,0,0
XCEM,1,1,0,0,0
XLF,1,0,0,0,0
XSOE,1,1,0,0,0
